Kind,Race,Name,Description,Level,Frequency,Difficulty,Challenge,Size,Material,Weight,Speed,Defence,Strategy,Flags,STR,DEX,CON,INT,WIS,CHA
angel,angel,Aleax,,50,0,55,5208,medium,animal,18000,"6,0",30,attack,GUARDIAN|UNIQUE,22,18,21,22,23,24
angel,angel,angel,"Beautiful, otherworldly beings characterised by their signature halo and feathered wings. Strongly attuned to the struggle between good and evil, they sense the divinity within anything they hold.",0,0,0,0,medium,animal,15000,"4,5",10,attack,BASE,10,10,10,10,10,10
angel,angel,angel warrior,"A soldier of the host: armed, armoured, and entirely without doubt.",15,1,20,430,medium,animal,18000,"4,5",22,attack,,20,16,18,14,16,16
angel,angel,archangel,,14,1,19,415,medium,animal,18000,"4,5",24,attack,,18,17,16,17,19,20
angel,angel,archon,,19,1,26,662,large,animal,18000,"5,0",22,attack,,21,20,21,21,22,22
angel,angel,astral deva,,18,1,24,604,medium,animal,18000,"5,0",21,attack,,20,20,20,19,22,20
angel,angel,cherubim,"Not the plump children of paintings: four faces, a great many wings, and a mandate to guard.",14,1,14,390,medium,animal,18000,"4,5",22,defend,,17,16,15,16,18,19
angel,,couatl,,8,1,11,148,large,animal,100000,"3,0",10,attack,,16,20,17,18,20,18
angel,angel,eshim,"The least of the host, made of fire and formed for one errand at a time.",9,1,8,165,medium,animal,15000,"4,5",16,attack,,14,14,14,13,16,16
angel,angel,galgalim,"The wheels within wheels, rimmed with eyes, turning without ever facing away.",16,1,16,480,medium,animal,18000,"5,0",20,attack,,16,18,16,20,22,18
angel,,ki-rin,,16,1,21,472,large,animal,140000,"6,0",18,attack,,19,20,16,17,20,18
angel,angel,monadic deva,,15,1,21,456,medium,animal,20000,"5,0",20,attack,,18,18,18,17,20,20
angel,angel,movanic deva,,12,1,19,386,medium,animal,19000,"5,0",19,attack,,16,16,16,15,18,18
angel,angel,Planetar,,50,0,55,5642,large,animal,21000,"6,0",30,attack,GUARDIAN|UNIQUE,24,20,24,19,22,25
angel,angel,seraphim,"The burning ones. They stand nearest the throne, and everything near them catches.",19,1,20,590,medium,animal,18000,"5,0",22,attack,,19,19,19,18,21,21
angel,angel,Solar,,50,0,55,5100,large,animal,18000,"5,0",30,attack,GUARDIAN|UNIQUE,26,22,26,25,25,30
bat,,athol,,5,1,6,22,medium,animal,6000,"5,0",13,defend,,15,14,11,2,12,6
bat,,bat,,0,2,2,6,tiny,animal,200,"5,0",10,defend,,4,15,8,2,13,4
bat,,blind cave bat,"A giant bat with clouded, sightless eyes, navigating wholly by the shriek of its own echo.",3,1,5,16,small,animal,300,"5,0",12,defend,,16,14,12,2,13,6
bat,,byakhee,,18,2,22,575,medium,animal,16000,"5,0",21,defend,,18,16,17,7,15,8
bat,,giant bat,,2,2,3,10,small,animal,300,"5,0",11,defend,,15,14,11,2,12,6
