Stock,Type,Name,Appearance,Description,Armour,Weapon,Light,Storage,Material,Nutrition,Essence,Weight,Price,Rarity,Grade,Bundled,Utility
amulet,amulet,amulet of change,square amulet,,,,,,iron,20,100,100,150,110,standard,FALSE,
amulet,amulet,amulet of drain resistance,warped amulet,,,,,,iron,20,100,100,150,60,standard,FALSE,
amulet,amulet,amulet of ESP,circular amulet,,,,,,iron,20,100,100,150,140,standard,FALSE,
amulet,amulet,amulet of flying,convex amulet,,,,,,iron,20,150,100,150,50,standard,FALSE,
amulet,amulet,amulet of life saving,spherical amulet,,,,,,iron,20,150,100,150,60,standard,FALSE,
amulet,amulet,amulet of nada,medallion amulet,,,,,,gold,15,10,100,25,100,standard,FALSE,
amulet,amulet,amulet of reflection,hexagonal amulet,,,,,,iron,20,150,100,150,60,standard,FALSE,
amulet,amulet,amulet of restful sleep,triangular amulet,,,,,,iron,20,25,100,150,110,standard,FALSE,
amulet,amulet,amulet of unchanging,concave amulet,,,,,,iron,20,25,100,150,50,standard,FALSE,
amulet,amulet,amulet of vitality,octagonal amulet,,,,,,iron,20,100,100,150,50,standard,FALSE,
amulet,amulet,amulet versus poison,pyramidal amulet,,,,,,iron,20,50,100,150,140,standard,FALSE,
amulet,amulet,amulet versus stone,oval amulet,,,,,,iron,20,50,100,150,60,standard,FALSE,
amulet,amulet,Celestial Doom,,"An omen of your own death, worn openly. You always sense it coming, but so does everyone standing near you.",,,,,iron,0,0,200,1300,1,artifact,FALSE,
amulet,amulet,Celestial Kismet,,"Fate itself bends around the wearer, keeping them exactly where the blow cannot land.",,,,,gold,0,0,200,1500,1,artifact,FALSE,
amulet,amulet,Celestial Portent,,"A shard of the night sky, showing the wearer what is hidden, what is coming, and what others think.",,,,,gemstone,0,0,200,1600,1,artifact,FALSE,
amulet,amulet,Eye of Aethiopica,,,,,,,iron,0,0,200,2000,1,artifact,FALSE,
amulet,amulet,Philosophers Stone,,"Gazing into its crimson depths you can see the concentrated life essence of countless victims swirling inside of it. The artifact was completed in the moment of the creators' death, as his soul was claimed by his creation. Now residing among the souls of his former victims, his essence as an alchemist provides the stone with ultimate transmutative powers.",,,,,gemstone,0,0,200,5000,1,artifact,FALSE,
armour,barding,chain barding,,,medium armour:5,,,,iron,800,10,6000,300,10,standard,FALSE,
armour,barding,leather barding,,,light armour:3,,,,leather,500,10,2500,150,15,standard,FALSE,
armour,barding,mithril barding,,,light armour:5,,,,mithril,1000,10,3500,500,2,standard,FALSE,
armour,barding,plate barding,,,heavy armour:7,,,,iron,900,10,9000,700,5,standard,FALSE,
armour,barding,saddle,,,light armour:1,,,,leather,300,10,1500,50,20,standard,FALSE,
